,관서명,강간 검거,강간 발생,강도 검거,강도 발생,살인 검거,살인 발생,절도 검거,절도 발생,폭력 검거,폭력 발생,구별,위도,경도
0,서울강남경찰서,433,513,10,12,3,5,1016,1941,1911,2283,강남구,37.5094352,127.0669578
1,서울강동경찰서,167,188,14,15,3,3,781,1640,1697,1942,강동구,37.528511,127.1268224
2,서울강북경찰서,132,159,4,5,8,9,490,780,1625,1817,강북구,37.63730390000001,127.0273399
3,서울강서경찰서,222,265,5,6,9,10,1070,1689,2087,2445,강서구,37.5512463,126.8499633
4,서울관악경찰서,351,403,3,3,12,12,1137,2229,2355,2614,관악구,37.4743945,126.9513489
5,서울광진경찰서,224,255,4,4,2,2,874,1664,1407,1676,광진구,37.542873,127.083821
6,서울구로경찰서,142,197,5,5,6,6,1008,1763,1823,2204,구로구,37.494931,126.886731
7,서울금천경찰서,93,117,6,7,4,4,553,999,1310,1471,금천구,37.4568722,126.8970429
8,서울남대문경찰서,52,73,2,2,1,1,368,699,494,579,중구,37.5547584,126.9734981
9,서울노원경찰서,148,169,3,3,3,4,646,1404,1781,2163,노원구,37.6425238,127.0717076
10,서울도봉경찰서,87,82,2,2,0,0,379,861,1022,1234,도봉구,37.6533589,127.052682
11,서울동대문경찰서,142,161,5,6,8,10,713,1440,1597,1784,동대문구,37.58506149999999,127.0457679
12,서울동작경찰서,121,226,2,1,1,1,592,1341,1370,1631,동작구,37.5130866,126.9428498
13,서울마포경찰서,287,348,3,4,8,9,679,1483,1557,1844,마포구,37.550814,126.954028
14,서울방배경찰서,50,63,1,1,1,1,159,348,365,423,서초구,37.4945959,126.9831279
15,서울서대문경찰서,149,159,1,2,3,3,524,1077,1029,1292,서대문구,37.5647439,126.9667705
16,서울서부경찰서,71,76,2,3,3,3,322,532,667,748,은평구,37.6020914,126.9213528
17,서울서초경찰서,253,333,3,5,4,4,801,1673,1415,1750,서초구,37.4956054,127.0052504
18,서울성동경찰서,98,115,3,3,5,5,565,1016,1103,1223,성동구,37.5617303,127.0364217
19,서울성북경찰서,77,95,2,2,0,0,233,439,610,672,성북구,37.58977830000001,127.016589
20,서울송파경찰서,235,287,17,13,6,6,1006,2429,2280,2675,송파구,37.5016941,127.1272481
21,서울수서경찰서,194,195,1,2,2,1,475,1010,1200,1394,강남구,37.49349,127.0772119
22,서울양천경찰서,90,109,3,3,5,5,718,1517,1270,1582,양천구,37.5167711,126.8656996
23,서울영등포경찰서,252,315,5,6,4,7,953,2188,2157,2701,영등포구,37.5153176,126.905728
24,서울용산경찰서,186,230,6,6,3,5,534,1111,1327,1617,용산구,37.5387099,126.9659183
25,서울은평경찰서,74,95,1,1,1,1,434,839,956,1092,은평구,37.6280204,126.9287899
26,서울종로경찰서,93,115,4,4,6,9,284,602,792,964,종로구,37.575548,126.9847471
27,서울종암경찰서,44,47,0,1,4,4,347,549,630,758,성북구,37.6020592,127.0321577
28,서울중랑경찰서,153,183,6,5,9,10,889,1506,1724,2022,중랑구,37.5990885,127.0956516
29,서울중부경찰서,76,113,4,3,1,1,495,943,830,997,중구,37.5636465,126.9895796
30,서울혜화경찰서,53,77,3,3,0,0,310,581,628,747,종로구,37.5718529,126.9989143
